mstardisk,mstarspheroid,sfrdisk,sfrspheroid,mzgasdisk,mzhothalo,mcolddisk,halomass,mbh,mhot
0,131225000000,0,0,73349500,58895000000,13716200000,399700000000000,271974000,51681500000000
0,142239000000,0,0,11557300,68107700000,4547770000,399640000000000,521885000,53457900000000
0,239713000000,0,0,4315800,44669300000,866102000,399590000000000,501873000,38644200000000
0,378569000000,0,0,65851600,57329900000,2919780000,399510000000000,451040000,39605500000000
80114200000,57258200000,0,0,84310000,46413500000,4596330000,398890000000000,163467000,44750800000000
20567000000,47566800000,0,0,64047400,32316100000,10837500000,398640000000000,71855200,37708700000000
0,239979000000,0,0,66407400,45335200000,5258850000,397800000000000,543198000,47770100000000
102842000000,51543200000,0,2966740000,161359000,53993600000,13560200000,397790000000000,162427000,47879300000000
0,325232000000,0,12657300000,14221700,33734500000,674008000,397760000000000,494231000,45485100000000
0,216545000000,0,0,15833000,53040800000,2870340000,397700000000000,376499000,48602900000000
0,133397000000,0,0,79644500,86706700000,13688600000,397170000000000,284495000,49939100000000
0,176280000000,0,0,43080100,34237400000,8593170000,397100000000000,389473000,35821500000000
0,206741000000,0,11997900000,13901200,38345200000,1546880000,397100000000000,651051000,47098800000000
125128000000,141211000000,0,0,134527000,57237500000,11611700000,397090000000000,456125000,53715000000000
0,159808000000,0,0,8704590,47108500000,2041920000,397070000000000,389054000,49552100000000
0,207927000000,0,0,27675700,57826300000,7811910000,397050000000000,487630000,42893800000000
184624000000,126470000000,0,0,618309000,48730600000,28930500000,396860000000000,509711000,39990000000000
0,230969000000,0,498024000,28487200,53009900000,2225140000,396860000000000,484776000,45178600000000
0,77242300000,0,0,21560600,62354200000,7352020000,396780000000000,269586000,48374100000000
0,241904000000,0,0,28357200,71960800000,4426180000,396740000000000,505908000,49385300000000
0,82640400000,0,0,57837200,35982900000,4690400000,396740000000000,245383000,40935800000000
289464000000,17983300000,0,0,629615000,26330700000,31626900000,396670000000000,76235700,36988600000000
105955000000,36742600000,0,0,222505000,28701000000,14032200000,396600000000000,132721000,39977900000000
122725000000,17972000000,0,0,667266000,58863700000,49859900000,396430000000000,85258000,49716300000000
0,524628000000,0,6317910000,322841000,82585400000,22193200000,396340000000000,1246050000,50864500000000
191736000000,144072000000,0,0,284042000,42735200000,14648600000,396320000000000,414369000,41885200000000
94320800000,131680000000,0,0,64409900,59127000000,7664550000,396190000000000,326743000,44210900000000
0,296379000000,0,0,89936300,15314400000,8198420000,396090000000000,481660000,31726300000000
202180000000,141887000000,0,567669000,295465000,64678900000,19832400000,396030000000000,404774000,46092600000000
352892000000,118477000000,0,0,377688000,75059200000,14160000000,395980000000000,397826000,39584400000000
0,245299000000,0,0,104510000,78575700000,4979700000,395910000000000,415247000,50723100000000
0,126749000000,0,0,70509400,57732900000,7276920000,395890000000000,428530000,50199500000000
0,152463000000,0,0,35623400,31497100000,3238620000,395870000000000,266989000,37345700000000
152455000000,48295100000,0,0,545362000,60804100000,33861500000,395230000000000,246407000,48111400000000
0,196538000000,0,0,72341100,57376000000,10387900000,394710000000000,394379000,50600200000000
14870800000,50929600000,0,0,55511600,33911900000,11947200000,394280000000000,124799000,49951700000000
0,834572000000,0,0,113457000,79337300000,12380300000,394230000000000,1304320000,52691500000000
0,85009700000,0,0,52824900,58555900000,1890910000,394110000000000,311556000,49079600000000
0,339894000000,0,0,47562900,37197400000,2232530000,394010000000000,943703000,42458800000000
0,31932800000,0,0,36457900,38794600000,5256480000,393920000000000,79447800,45580100000000
0,326248000000,0,2766200000,69207100,55123500000,9848720000,393690000000000,919841000,50054500000000
0,161725000000,0,0,32723400,53100300000,2503320000,393670000000000,393042000,44052200000000
0,44801300000,0,5579940000,72475300,48290000000,5061680000,393590000000000,218666000,44653800000000
