mstardisk,mstarspheroid,sfr,sfrspheroid,mzgasdisk,mzgasspheroid,mcolddisk,halomass,mbh,mhot,mcoldspheroid
0,992240000000,3011580,0,19298300,982067000,1886830000,298340000000000,100877000000,42202600000000,19634500000
0,532828000000,4320240,0,2094560,0,205153000,298340000000000,22436700000,22658200000000,0
1175030000,479865000000,1325870000,1322630000,784585,79463000,121817000,298190000000000,11217100000,23931900000000,3306640000
0,1183410000000,6089930000,5908100000,57010700,7429650000,4289480000,298180000000000,47049900000,39026700000000,99797600000
0,917319000000,0,0,17917100,0,2122750000,298110000000000,49591000000,36787200000000,0
93629800000,1070510000000,68820300,0,6792270000,0,50496500000,298090000000000,80542900000,38521700000000,0
0,1259420000000,463023000,460322000,99023500,7599530000,4764900000,298090000000000,103512000000,38638100000000,121619000000
0,1528640000000,3780940000,3772540000,2523830,26074000000,273699000,298070000000000,95612100000,36314900000000,193830000000
0,701915000000,1416740000,1381310000,4197210,35219900,741977000,297990000000000,46492200000,31849800000000,4824090000
0,97432400000,18381600,0,0,0,0,297890000000000,2047120000,11458800000000,0
0,849230000000,1998510000,1968240000,367257,0,101146000,297790000000000,34751600000,31143800000000,0
0,1156260000000,1063060000,1043630000,122638000,901636000,2644960000,297770000000000,46553000000,39105500000000,12386800000
0,394903000000,11544300,0,79015000,870478000,4914560000,297740000000000,16828000000,33292100000000,9378830000
0,930180000000,322082000,317025000,156768,170170000,66003300,297670000000000,35914400000,33215500000000,4563150000
0,686110000000,17621700,0,16144100,0,2338570000,297670000000000,21837300000,24402100000000,0
0,809115000000,2733390000,2732740000,1254840,463371000,141989000,297620000000000,58120800000,41912500000000,13554000000
0,445197000000,849491000,848260000,192894,201030000,47589400,297410000000000,13812500000,24630100000000,5041850000
0,1163460000000,191502000,191502000,18.8791,72227900,9700.18,297330000000000,53774400000,35918500000000,2458570000
0,730404000000,43394200,0,187091000,0,17706400000,297300000000000,50137200000,39976000000000,0
0,980015000000,19202600,0,750066,2106420000,378181000,297160000000000,38818800000,33885600000000,16318900000
0,1162700000000,73838500000,73836900000,373191000,34236400000,5254440000,297120000000000,63100700000,20991600000000,250196000000
0,601312000000,3201320000,3147850000,9062930,33878300,1001790000,297050000000000,12388900000,29978500000000,1710240000
123488000000,648205000000,53496500,0,2900940000,1238080000,25296500000,297020000000000,29139100000,30944000000000,9074840000
0,1369610000000,7342010,0,40245800,9894260000,3086500000,297000000000000,86868700000,37712800000000,131756000000
0,901111000000,237208000,0,161783000,0,8322970000,297000000000000,70854800000,39035200000000,0
0,1047580000000,707220000,674126000,7284250,2023840000,593127000,296830000000000,51385300000,36178600000000,25489900000
26750800000,575689000000,43747900000,43693800000,1685000,2505010000,95443500,296780000000000,16399500000,22977400000000,30273000000
0,947468000000,4194200000,4189830000,2295400,4718310000,98903300,296730000000000,43289000000,37430900000000,52157300000
0,949075000000,3748060000,3743560000,100460,37227000,35187100,296720000000000,89953000000,42588200000000,3239360000
0,857508000000,11065000,0,382264000,4024370000,21121600000,296700000000000,55032300000,38302400000000,75658700000
0,712315000000,4557510000,4549910000,3364960,0,464679000,296680000000000,27346200000,32365600000000,0
0,1009560000000,7345400,0,120964000,7700090000,2381060000,296650000000000,46600700000,33466900000000,82284100000
0,953217000000,0,0,3488350,2402390000,810774000,296620000000000,52962600000,37126400000000,28679100000
0,1370120000000,1856160000,1838230000,0,12706200000,0,296530000000000,48080800000,34765700000000,120824000000
0,591241000000,4358870000,4181660000,75508200,42019200,3119430000,296420000000000,31741000000,36048500000000,2961510000
0,1572950000000,46361300,0,44934600,23599200000,2895830000,296200000000000,116040000000,38900200000000,233241000000
0,1007150000000,3639010,0,9851440,0,1853210000,296160000000000,60305900000,40562100000000,0
0,904518000000,10011800,0,10676700,5884930000,890177000,296100000000000,50534000000,38436000000000,69556600000
0,668949000000,3134470000,3002910000,10678500,349902000,1318690000,296080000000000,21148800000,31579400000000,6654610000
0,702246000000,3422760000,3420330000,115750000,0,4181560000,296060000000000,27691800000,31704600000000,0
0,1347990000000,4668930,0,448656,4832570000,281699000,296010000000000,61172300000,38377400000000,53230500000
0,1225060000000,2796730000,2788730000,0,453407000,0,296000000000000,106137000000,37811400000000,14030900000
0,870790000000,6690220000,6690020000,7229.33,42312600,67238400,295980000000000,47389800000,36078800000000,1822610000
0,654734000000,34861100,0,15360500,3823850000,1347420000,295850000000000,26809000000,26042800000000,43522300000
