mstardisk,mstarspheroid,sfr,sfrspheroid,mzgasdisk,mzgasspheroid,mcolddisk,halomass,mbh,mhot,mcoldspheroid
0,1173580000000,9249590000,9243720000,96284,20600200,27590100,456420000000000,116961000000,53896700000000,717947000
0,1463670000000,1387490000,996468000,17617000,9418380000,1240160000,456070000000000,112025000000,51458800000000,113225000000
0,892233000000,356437000,356241000,2144380,606019000,195585000,455710000000000,57829400000,51225200000000,14734200000
0,1252500000000,23386400,0,229161000,6695450000,10381300000,455430000000000,115802000000,53541300000000,105027000000
0,1046780000000,1000060000,978536000,1807400,51364600,205366000,455290000000000,90767400000,57636300000000,2434170000
0,1394270000000,42718400,0,10596600,1408040000,865017000,455090000000000,87331600000,60325600000000,11016000000
0,911434000000,786636000,753371000,8360760,32133400,696976000,454690000000000,54593500000,38972000000000,2157580000
0,1135570000000,91246100,67446600,6961390,282250,513873000,454500000000000,57135800000,54258100000000,73989600
0,745158000000,4432930000,4432930000,2180230,31925600,251498000,454170000000000,29319400000,45257800000000,1319780000
0,943878000000,405378000,243953000,623382000,5399400000,22651000000,454160000000000,55598500000,48729000000000,80736300000
0,1323000000000,356654,0,183641000,7779720000,6199640000,454050000000000,99922200000,56392400000000,101494000000
0,993302000000,3386650000,3306030000,2315300,2633060000,233545000,453890000000000,43001400000,53847800000000,32358800000
5429420000,1341410000000,3143590,0,31400000,0,1505330000,453580000000000,97347100000,57879200000000,0
0,1225180000000,1096670000,1066780000,0,183479000,0,453450000000000,68207200000,44576400000000,4826440000
0,1478020000000,976181000,976181000,0,574622,0,453150000000000,94822800000,55866100000000,60904000
0,1035390000000,1498470000,1345070000,107441000,4771350000,4792090000,452840000000000,41914600000,52690500000000,60166000000
0,1412020000000,537432000,398903000,72452500,2464300,4235860000,452330000000000,91406200000,49782700000000,498956000
0,734204000000,5827620,0,73311400,3899300000,6199900000,452320000000000,89805100000,59718900000000,54754400000
0,694299000000,2755180000,2721990000,8559280,209370000,280530000,452060000000000,27333800000,39983000000000,8485910000
0,1087910000000,777661000,777661000,2760390,10865800,414519000,452010000000000,53817900000,45629600000000,431780000
0,615067000000,2559460000,2558430000,346070,103087000,154901000,451840000000000,22354800000,47791800000000,6175170000
0,1548070000000,0,0,1096860,0,206196000,451740000000000,86818900000,52563700000000,0
0,1239300000000,16349300,0,151116000,5700860000,10204300000,451720000000000,73741900000,57037700000000,70534700000
0,1459260000000,147649000,0,274850,711931000,94688400,451700000000000,105266000000,56098500000000,13106500000
0,1051420000000,32032700,0,41359000,9190520000,840262000,451540000000000,56927400000,48197100000000,74505400000
1785930000,1212150000000,18393500000,18373100000,22877100,1263530000,1127470000,451140000000000,106894000000,54921800000000,37578800000
0,757782000000,190927000,0,34447600,0,1985990000,450960000000000,44074800000,48321700000000,0
0,975286000000,563169000,545330000,2361070,15731000,180148000,450860000000000,42979500000,55901900000000,1081000000
0,1186350000000,7235570000,7233420000,213232,100218000,47060100,450660000000000,78630200000,56819100000000,2897900000
0,1029250000000,995470000,995043000,7.60726,44550600,6297.82,450380000000000,54609400000,53815700000000,2088650000
0,1563400000000,140871000,0,143297000,20440700000,7108870000,450370000000000,226676000000,57170700000000,241580000000
0,1031130000000,92597400,0,130895000,5541900000,6669150000,450340000000000,76990800000,54844600000000,74636300000
