mstardisk mstarspheroid sfr sfrspheroid mzgasdisk mzgasspheroid mcolddisk halomass mbh mhot mcoldspheroid zgasdisk zgasspheroid test test1 test2 test3 test4 test5 test6 test7 test8 test9
0 2.19192E+12 1614210000 1482940000 230502000 749198 10054200000 8.085E+14 4.00427E+11 1.01637E+14 28052900 0.022925941 0.026706615 0 0 0 0 0 0 0 0 0 0
0 1.32693E+12 165977000 0 96236700 9875180000 4651850000 8.0652E+14 1.09384E+11 8.85888E+13 1.12461E+11 0.020687834 0.087809819 0 0 0 0 0 0 0 0 0 0
0 1.68482E+12 1471060000 499832000 303092000 11435300000 13630800000 8.0618E+14 1.05459E+11 8.77191E+13 1.09246E+11 0.022235819 0.104674771 0 0 0 0 0 0 0 0 0 0
0 8.29997E+11 3489450000 2928000000 25323200 264704000 1008090000 8.0401E+14 27281700000 7.40202E+13 7428190000 0.025119979 0.03563506 0 0 0 0 0 0 0 0 0 0
0 1.26845E+12 6656980000 6621420000 1404730 1392280000 237448000 8.0241E+14 92680700000 7.55226E+13 29386300000 0.005915948 0.04737854 0 0 0 0 0 0 0 0 0 0
0 1.67873E+12 5687260000 4870670000 46356900 6085740000 1463340000 7.9968E+14 1.16426E+11 9.03804E+13 93349200000 0.031678831 0.065193274 0 0 0 0 0 0 0 0 0 0
0 9.52174E+11 9846320000 9799860000 57329600 7098410000 3597610000 7.9897E+14 35073200000 6.38739E+13 96187200000 0.015935468 0.073797865 0 0 0 0 0 0 0 0 0 0
0 1.44267E+12 114485000 0 312525000 9619890000 15396700000 7.9825E+14 1.88877E+11 8.39194E+13 1.40501E+11 0.020298181 0.068468481 0 0 0 0 0 0 0 0 0 0
0 1.89601E+12 2361600000 2089800000 22239200 22122300000 549389000 7.9576E+14 2.42365E+11 8.99246E+13 2.26736E+11 0.040479879 0.097568538 0 0 0 0 0 0 0 0 0 0
0 2.96935E+12 600260000 507556000 99672700 3029100 5541970000 7.922E+14 2.03811E+11 9.40408E+13 297621000 0.017985067 0.010177709 0 0 0 0 0 0 0 0 0 0
0 1.53791E+12 25573600000 16302000000 0 2052490000 0 7.9202E+14 83435700000 6.51733E+13 48260400000 0 0.042529486 0 0 0 0 0 0 0 0 0 0
0 2.53608E+12 1094380000 900942000 22571800 20735300000 1076890000 7.9183E+14 6.06524E+11 1.00782E+14 2.56644E+11 0.020960172 0.080794018 0 0 0 0 0 0 0 0 0 0
0 2.62969E+12 14549700000 13751800000 42904200 19710400000 1305180000 7.8957E+14 1.87469E+11 9.13585E+13 2.62479E+11 0.032872248 0.075093246 0 0 0 0 0 0 0 0 0 0
0 1.3292E+12 1893030000 0 495992000 0 10501400000 7.8777E+14 1.06934E+11 9.48906E+13 0 0.047231036 0 0 0 0 0 0 0 0 0 0 0
0 1.16676E+12 13517400000 12857700000 0 963868000 0 7.8586E+14 47860500000 8.2297E+13 18000700000 0 0.05354614 0 0 0 0 0 0 0 0 0 0
0 2.14295E+12 7550360000 7338200000 241595000 19774500000 11399600000 7.827E+14 2.87169E+11 8.81381E+13 2.22039E+11 0.021193287 0.089058679 0 0 0 0 0 0 0 0 0 0
0 1.36436E+12 2296150000 2075250000 390210000 1994190000 15650300000 7.8158E+14 87434600000 8.47116E+13 25979600000 0.024933068 0.076759842 0 0 0 0 0 0 0 0 0 0
0 2.29506E+12 881342000 701452000 236684000 25261100000 9083020000 7.8107E+14 5.32696E+11 1.01145E+14 2.63666E+11 0.026057853 0.095807195 0 0 0 0 0 0 0 0 0 0
45586600000 7.04936E+11 103623000 0 2720860000 0 43968500000 7.7606E+14 35044800000 4.26646E+13 0 0.061882029 0 0 0 0 0 0 0 0 0 0 0
0 1.58258E+12 3969670000 3966820000 66991900 10011000000 2898970000 7.7103E+14 1.53387E+11 8.75371E+13 1.35533E+11 0.023108863 0.07386393 0 0 0 0 0 0 0 0 0 0
0 1.87496E+12 5188260000 5053520000 207396000 36736000 7923010000 7.7052E+14 1.57282E+11 9.16325E+13 1069920000 0.026176415 0.034335277 0 0 0 0 0 0 0 0 0 0
